SPEC_ID,PROTECTED = P,UPDATED = U,GENUS,SPECIES,COUNTRY,LOCALITY,COLLECTION PLACE,DATE COLLECTED,SEX,BONE,SIDE,AGE,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,,,
AMNH82036,P,U,Equus,grevyi,19,,,,male,mand,left,recent,481.7,130.2,90.5,82.0,171.6,150.4,54.3,267.3,251.3,106.0,81.8,69.4,93.7,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMNH82036,P,U,Equus,grevyi,19,,,,male,mciii,left,recent,235.0,227.3,33.4,29.1,53.6,33.3,47.0,16.0,,47.8,45.9,36.1,28.1,32.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMNH82036,P,U,Equus,grevyi,19,,,,male,mciii,right,recent,236.4,227.0,33.3,28.5,53.4,33.3,47.3,16.7,7.1,47.1,46.0,37.0,,29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMNH82036,P,U,Equus,grevyi,19,,,,male,mtiii,left,recent,271.4,265.0,31.6,32.9,48.1,40.7,45.3,11.2,9.5,46.1,42.6,37.1,27.9,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMNH82036,P,U,Equus,grevyi,19,,,,male,mtiii,right,recent,272.0,263.9,32.4,33.7,48.6,42.0,47.3,12.3,10.1,46.3,45.0,37.7,27.9,33.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMNH82036,P,U,Equus,grevyi,19,,,,male,p1ph3,left,recent,87.9,80.7,32.4,50.6,36.0,44.1,41.4,24.8,47.3,67.3,68.5,16.0,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMNH82036,P,U,Equus,grevyi,19,,,,male,p1ph3,right,recent,87.8,80.7,33.1,50.7,36.3,44.6,41.9,25.1,45.4,68.4,65.6,15.6,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMNH82036,P,U,Equus,grevyi,19,,,,male,p2ph3,left,recent,48.7,36.5,40.8,49.0,33.5,41.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMNH82036,P,U,Equus,grevyi,19,,,,male,radius,left,recent,348.5,328.0,41.0,27.1,80.4,42.6,88.1,76.2,38.5,76.4,25.8,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMNH82036,P,U,Equus,grevyi,19,,,,male,radius,right,recent,348.5,326.0,41.2,26.9,79.8,40.6,88.3,68.0,37.6,77.2,26.3,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMNH82036,P,U,Equus,grevyi,19,,,,male,skull,left,recent,113.2,151.7,152.8,128.9,276.5,558.0,96.0,81.0,176.5,98.2,42.2,48.1,69.1,46.2,56.2,60.1,180.6,211.2,211.5,87.9,108.6,76.3,434.2,216.4,109.8,142.3,17.5,59.9,58.8,189.2,206.6,,,,,,,,,,
AMNH82036,P,U,Equus,grevyi,19,,,,male,tmp2,left,recent,33.2,,14.0,7.4,14.9,15.7,,11.1,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMNH82036,P,U,Equus,grevyi,19,,,,male,tmp4,left,recent,25.5,,17.2,7.2,10.1,20.0,,16.2,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
