1st_body_mass,1st_total_length,catalognumber,collectioncode,decimallatitude,decimallongitude,dynamicproperties,1st_ear_length,eventdate,fieldnotes,1st_hind_foot_length,institutioncode,1st_life_stage_notation,2nd_life_stage_notation,lifestage,ageValue,ageUnit,locality,occurrenceid,reproductivecondition,scientificname,sex,1st_sex_notation,1st_tail_length,1st_testes_side
43544.87,1418,60192,Mammals,35.50028,-89.20833,"{""totalLengthInmm"":""1418"", ""tailLengthInmm"":""219"", ""hindfootLengthInmm"":""417"", ""earLengthInmm"":""145"", ""weightInlbs"":""96""}",145,10/17/1992,,417,OMNH,2.5 years,,,2.5 years,,"Hunt Area 2, Hatchie National Wildlife Refuge",urn:catalog:OMNH:Mammals:60192,,Odocoileus virginianus,female,female,219,
41276.91,1420,61153,Mammals,35.50028,-89.20833,"{""totalLengthIn"":""1420"", ""tailLengthIn"":""215"", ""hindfootLengthIn"":""415"", ""earLengthIn"":""138"", ""weightInlbs"":""91""}",,10/20/1991,,,OMNH,1.5 years,,,1.5 years,,"Hunt Area 3, Hatchie National Wildlife Refuge",urn:catalog:OMNH:Mammals:61153,,Odocoileus virginianus,female,female,,
44905.65,1420,62213,Mammals,35.50028,-89.20833,"{""totalLengthInmm"":""1420"", ""tailLengthInmm"":""233"", ""hindfootLengthInmm"":""441"", ""earLengthInmm"":""153"", ""weightInlbs"":""99""}",153,10/24/1987,,441,OMNH,2.5 years,,,2.5 years,,"Hunt Area 1, Hatchie National Wildlife Refuge",urn:catalog:OMNH:Mammals:62213,,Odocoileus virginianus,female,female,233,
28576.32,1421,63437,Mammals,35.50028,-89.20833,"{""totalLengthInmm"":""1421"", ""tailLengthInmm"":""233"", ""hindfootLengthInmm"":""415"", ""earLengthInmm"":""137"", ""weightInlbs"":""[63]""}",137,10/17/1992,,415,OMNH,1.5 years,,,1.5 years,,"Hunt Area 2, Hatchie National Wildlife Refuge",urn:catalog:OMNH:Mammals:63437,,Odocoileus virginianus,female,female,233,
39008.95,1421,61007,Mammals,35.50028,-89.20833,"{""totalLengthInmm"":""1421"", ""tailLengthInmm"":""207"", ""hindfootLengthInmm"":""391"", ""earLengthInmm"":""141"", ""weightInlbs"":""86""}",141,10/28/1989,,391,OMNH,3.5 years,,,3.5 years,,"Hunt Area 2, Hatchie National Wildlife Refuge",urn:catalog:OMNH:Mammals:61007,,Odocoileus virginianus,female,female,207,
41731,1422,18208,Mammals,17.7441692,-64.8683319,"{""totalLengthInMM"":""1422"", ""tailLengthInMM"":""152"", ""hindfootLengthInMM"":""381"", ""earLengthInMM"":""140"", ""weightInGrams"":""41731"" }",140,5/29/1972,,381,TTU,,,,,,PUNCH ESTATE,urn:catalog:TTU:Mammals:18208,,Odocoileus virginianus,male,male,152,
45133,1422,18209,Mammals,17.7441692,-64.8683319,"{""totalLengthInMM"":""1422"", ""tailLengthInMM"":""152"", ""hindfootLengthInMM"":""381"", ""earLengthInMM"":""140"", ""weightInGrams"":""45133"" }",140,6/13/1972,,381,TTU,,,,,,PUNCH ESTATE,urn:catalog:TTU:Mammals:18209,,Odocoileus virginianus,male,male,152,
34926.61,1423,62170,Mammals,35.50028,-89.20833,"{""totalLengthInmm"":""1423"", ""tailLengthInmm"":""261"", ""hindfootLengthInmm"":""433"", ""earLengthInmm"":""142"", ""weightInlbs"":""77""}",142,10/19/1991,,433,OMNH,1.5 years,,,1.5 years,,"Hunt Area 4, Hatchie National Wildlife Refuge",urn:catalog:OMNH:Mammals:62170,,Odocoileus virginianus,male,male,261,
49895.16,1423,60113,Mammals,35.342292,-90.07722,"{""totalLengthIn"":""1423"", ""tailLengthIn"":""194"", ""hindfootLengthIn"":""435"", ""earLengthIn"":""137"", ""weightInlbs"":""110""}",,1/18/1991,,,OMNH,2.5 years,,,2.5 years,,Meeman-Shelby Forest Wildlife Management Area,urn:catalog:OMNH:Mammals:60113,,Odocoileus virginianus,female,female,,
44905.65,1429,61129,Mammals,35.50028,-89.20833,"{""totalLengthIn"":""1429"", ""tailLengthIn"":""220"", ""hindfootLengthIn"":""402"", ""earLengthIn"":""150"", ""weightInlbs"":""99""}",,10/25/1992,,,OMNH,8.5 years,,,8.5 years,,"Hunt Area 3, Hatchie National Wildlife Refuge",urn:catalog:OMNH:Mammals:61129,,Odocoileus virginianus,female,female,,
