,catalogNumber,institutionCode,otherCatalogNumbers,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,pointElevationInMeters,materialSampleID,measurementUnit,measurementType,measurementValue,diagnosticID
92, 17845,MVZ,MVZ 17845MVZ 17845MVZ 17845,39.6079291,-121.670523,0.04345,60.96,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,24.5,aa4a23d0-249c-4bc7-96d4-037f04134f44
93, 17847,MVZ,MVZ 17847MVZ 17847MVZ 17847,37.8785684,-122.08665500000001,6.252000000000001,60.96,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,26,802b646c-50d6-4545-bbbb-1b76c1011e4e
94, 17848,MVZ,MVZ 17848,37.8816953,-121.91304199999999,1.662,533.4,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,26,e4d30a03-3ed6-40fc-8f19-30140c6b27e6
95, 17849,MVZ,MVZ 17849,37.8816953,-121.91304199999999,1.662,533.4,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,25,fdbf4614-6483-4d5d-86be-7054dcdb5769
96, 183731,MVZ,MVZ 183731MVZ 183731MVZ 183731,37.8978545,-122.310427,2.56,68.58,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,34,b7e5a4eb-fbc9-4438-9341-dcdda26e7cb7
97, 183732,MVZ,MVZ 183732,37.8978545,-122.310427,2.56,68.58,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,60,e32cfd44-9296-4629-8bc7-976a6b032511
98, 18661,MVZ,MVZ 18661MVZ 18661MVZ 18661,39.2570834,-120.71243799999999,0.455,1463.04,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,fc20131e-1161-45b5-b221-5fe9454fdc65
99, 19204,MVZ,MVZ 19204MVZ 19204,37.875069,-122.245186,0.402,,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,21,8115bdab-8c08-4d8c-bd5a-68bf1dcc1fa0
100, 201344,MVZ,MVZ 201344,37.75139,-119.79149,0.33,1923.5928000000001,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,e9f1277f-0aa5-447c-baae-fa6509e6a0d2
101, 201345,MVZ,MVZ 201345,37.75139,-119.79149,0.33,1923.5928000000001,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,af5068f3-1320-4485-b04b-9df32b8d3d00
102, 20328,MVZ,MVZ 20328,39.5155,-123.15104,4.645,1371.6000000000001,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,eebe2c5d-c6c0-4c26-9e82-568a5dc1831e
103, 207146,MVZ,MVZ 207146MVZ 207146MVZ 207146,37.6248,-120.56688,0.10142000000000001,70.104,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,a8c158a7-9c01-4de9-b5c4-2bd7e4800756
104, 207147,MVZ,MVZ 207147,37.6248,-120.56688,0.10142000000000001,70.104,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,ddbd28f3-5628-4764-a1f8-a0f6cc81a88c
105, 207148,MVZ,MVZ 207148,37.6248,-120.56688,0.10142000000000001,70.104,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,4de671d8-cbbc-40e0-bde7-c9dfc162ebdc
106, 207149,MVZ,MVZ 207149,37.6248,-120.56688,0.10142000000000001,70.104,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,bb3d4496-31e1-4086-b3e7-aee60db5ebe1
107, 207152,MVZ,MVZ 207152,37.6248,-120.56688,0.10142000000000001,70.104,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,435c2ccf-756f-4ed6-a8c9-b2666ebea2e5
108, 207153,MVZ,MVZ 207153,37.6248,-120.56688,0.251419,70.104,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,de397d1c-56d9-419c-94d2-179d9cd665d4
109, 207154,MVZ,MVZ 207154,37.75606,-120.08596000000001,0.251419,897.9408000000001,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,6fe21c42-9d48-482a-919e-f3d019ee4bff
110, 207155,MVZ,MVZ 207155,37.75606,-120.08596000000001,0.251419,897.9408000000001,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,1788f841-6d13-442f-aad6-1f5ab30fc9f2
111, 207156,MVZ,MVZ 207156,37.84486,-119.58945,0.1,2587.752,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,c6209ca3-98e2-4b40-aa51-2d63e7b3a2a1
112, 207161,MVZ,MVZ 207161,37.7409,-119.40803999999999,0.15142,2204.9232,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,7113f04a-e15f-4f2a-822a-05ec57e1c041
113, 207162,MVZ,MVZ 207162,37.74069,-119.41023,0.10142000000000001,2199.4368,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,e1993983-bb4b-4140-ac66-733c9c0f0ae1
114, 207163,MVZ,MVZ 207163,37.74069,-119.41025,0.10142000000000001,2199.4368,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,0ad80dea-4b6d-4f43-9420-3e607f7ec004
115, 207164,MVZ,MVZ 207164,37.74051,-119.41345,0.10142000000000001,2199.4368,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,bae21335-9a99-494f-8eb1-39d2db5cbad5
116, 207166,MVZ,MVZ 207166,37.75456,-119.74298,0.20142000000000002,2012.8992,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,c4a4e6df-c91b-455d-92e6-fbe07622f468
117, 207167,MVZ,MVZ 207167,37.75456,-119.74298,0.20142000000000002,2012.8992,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,2366fc6f-e4c1-424a-97bf-f80ce15f1e59
118, 208499,MVZ,MVZ 208499,37.90028,-119.12977,0.0,2214.3720000000003,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,be6a3fd3-0c2b-48f9-b314-a822b82291cd
119, 2154,MVZ,MVZ 2154,33.7633397,-116.664705,1.3716,2438.4,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,e475657d-30f5-40e7-a2ac-a055e6530b7d
120, 2155,MVZ,MVZ 2155,33.7633397,-116.664705,1.3716,2438.4,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,d2ad74bf-beaa-436d-b612-1322d9e995db
121, 216227,MVZ,MVZ 216227,37.90028,-119.12977,0.0,2214.3720000000003,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,59401123-6b31-43b5-bbed-6863e23d3f30
122, 216228,MVZ,MVZ 216228,37.75139,-119.79149,0.33,1923.5928000000001,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,8dcb4d98-7d4d-42a8-a88e-3fa2484e48c1
123, 216230,MVZ,MVZ 216230,37.74899,-119.83861999999999,0.213,508.4064,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,f5b7ce25-4c4f-4c3b-a032-f683e4010515
124, 216231,MVZ,MVZ 216231,37.74899,-119.83861999999999,0.213,508.4064,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,553dda5c-8102-4c92-b26e-0dd3ccec1468
