,catalogNumber,collectionCode,decimalLatitude,decimalLongitude,verbatimEventDate,institutionCode,verbatimAgeValue,ageValue,ageUnit,verbatimLocality,sex,scientificName,yearCollected,measurementUnit,measurementType,measurementValue,materialSampleID
919,61042,Mammals,35.50028,-89.20833,10/20/1991,OMNH,,0.5 ,year,"Hunt Area 2, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1991,mm,ear length,114.0,9d722133-94a6-4eed-aee3-4e791063c5ea
920,60154,Mammals,35.50028,-89.20833,10/17/1992,OMNH,,0.5 ,year,"Hunt Area 1, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1992,mm,ear length,,e760112f-2ab6-4380-97fa-f1007b92d8c3
921,61116,Mammals,35.50028,-89.20833,10/20/1990,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1990,mm,ear length,,cfee7b58-388a-4b2b-acd4-21459d0a2586
922,61106,Mammals,35.50028,-89.20833,10/21/1989,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1989,mm,ear length,,b7cbfd82-4144-4171-a970-380c4a61dbbe
923,61041,Mammals,35.50028,-89.20833,10/17/1992,OMNH,,0.5 ,year,"Hunt Area 2, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1992,mm,ear length,126.0,99a1afb0-6f0e-4bd3-b760-4f34ac93df6e
924,62004,Mammals,35.50028,-89.20833,10/24/1987,OMNH,,0.5 ,year,"Hunt Area 4, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1987,mm,ear length,125.0,b61f70d8-8cea-47ca-87e8-6b10f2f8d93e
925,62074,Mammals,35.50028,-89.20833,10/25/1992,OMNH,,0.5 ,year,"Hunt Area 4, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1992,mm,ear length,130.0,7e65c907-676b-45da-8189-ab07945e3b89
926,62236,Mammals,35.50028,-89.20833,10/18/1986,OMNH,,0.5 ,year,"Hunt Area 1, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1986,mm,ear length,129.0,dca0c4d2-9c33-48ed-8dec-928b06093ce1
927,63503,Mammals,35.50028,-89.20833,10/17/1987,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1987,mm,ear length,128.0,da3deca7-6bb6-41e0-b21e-537ec7d9255b
928,60146,Mammals,35.50028,-89.20833,10/20/1990,OMNH,,0.5 ,year,"Hunt Area 1, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1990,mm,ear length,,8b69b49a-577f-4206-bb45-10bd530d7abd
929,18194,Mammals,17.7655602,-64.8816681,8/3/1972,TTU,,,,CALIDONIA ESTATE,female,Odocoileus virginianus,1972,mm,ear length,127.0,08f6e849-d468-4251-b430-8ed72773ee35
930,61159,Mammals,35.50028,-89.20833,10/17/1992,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1992,mm,ear length,,1a8c9a28-4a02-4960-bcce-904f5d6fa6f2
931,62276,Mammals,35.50028,-89.20833,10/18/1986,OMNH,,0.5 ,year,"Hunt Area 2, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1986,mm,ear length,130.0,91e4f140-fc70-4708-8b92-df34e8c0753b
932,60165,Mammals,35.50028,-89.20833,10/27/1990,OMNH,,0.5 ,year,"Hunt Area 2, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1990,mm,ear length,,6290762c-b902-46fa-8c04-ef397ed09605
933,62053,Mammals,35.50028,-89.20833,10/21/1989,OMNH,,0.5 ,year,"Hunt Area 4, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1989,mm,ear length,135.0,01ffec31-7888-4d27-a40e-adf358386689
934,61064,Mammals,35.50028,-89.20833,10/20/1990,OMNH,,1.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1990,mm,ear length,148.0,8027fc06-8ffc-40c1-a83b-502093e10359
935,61100,Mammals,35.50028,-89.20833,10/28/1989,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1989,mm,ear length,,9c14cb2b-aab1-451d-b614-14cdeedb0408
936,60163,Mammals,35.50028,-89.20833,10/21/1989,OMNH,,0.5 ,year,"Hunt Area 1, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1989,mm,ear length,,4bc4bd48-74dd-49b1-a7fe-2b1d3f097eba
937,61016,Mammals,35.50028,-89.20833,10/28/1989,OMNH,,0.5 ,year,"Hunt Area 2, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1989,mm,ear length,129.0,c5860a52-dd7c-4a78-ac55-867a768a3aa2
938,62289,Mammals,35.50028,-89.20833,10/17/1987,OMNH,,0.5 ,year,"Hunt Area 4, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1987,mm,ear length,140.0,2c945b30-7ab5-4fc3-9f81-018776b9319d
939,61170,Mammals,35.50028,-89.20833,10/23/1988,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1988,mm,ear length,,e1c78734-aa82-4963-a432-752d304b9eab
940,61173,Mammals,35.50028,-89.20833,10/23/1988,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1988,mm,ear length,,6c549635-c7cb-4511-be15-f58b3d56ae82
941,61020,Mammals,35.50028,-89.20833,10/22/1989,OMNH,,0.5 ,year,"Hunt Area 2, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1989,mm,ear length,121.0,d7d936df-d591-46e3-807f-6a5d08b4ab0e
942,61103,Mammals,35.50028,-89.20833,10/22/1989,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1989,mm,ear length,,a9e0730e-df2b-4f78-b2e8-124ba475e98e
943,61121,Mammals,35.50028,-89.20833,10/20/1990,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1990,mm,ear length,,ecedcd6b-5916-47d6-a45f-07315dce13cc
944,62073,Mammals,35.50028,-89.20833,10/25/1992,OMNH,,0.5 ,year,"Hunt Area 4, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1992,mm,ear length,125.0,a8e85588-815f-47b3-bae9-f25cf6b42a11
945,60161,Mammals,35.50028,-89.20833,10/20/1991,OMNH,,0.5 ,year,"Hunt Area 1, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1991,mm,ear length,,2cec2d29-ccca-437a-a387-e1e862b25177
946,62251,Mammals,35.50028,-89.20833,10/28/1990,OMNH,,0.5 ,year,"Hunt Area 2, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1990,mm,ear length,136.0,87ce934f-2fc0-4d8d-bdf7-6ec9943de5e2
947,61008,Mammals,35.50028,-89.20833,10/21/1989,OMNH,,0.5 ,year,"Hunt Area 2, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1989,mm,ear length,125.0,15e4f677-ad9e-46df-bad8-841bddc375fa
948,61166,Mammals,35.50028,-89.20833,10/23/1988,OMNH,,0.5 ,year,"Hunt Area 4, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1988,mm,ear length,,d598e61b-3d68-48bc-9991-f20ab78c3233
949,65314,Mammals,35.50028,-89.20833,10/27/1991,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1991,mm,ear length,112.0,63c1507e-eda1-4ff2-92c6-b780b1dd1ff2
950,62058,Mammals,35.50028,-89.20833,10/27/1990,OMNH,,0.5 ,year,"Hunt Area 4, Hatchie National Wildlife Refuge",female,Odocoileus virginianus,1990,mm,ear length,136.0,9625c19e-0200-4180-968a-fc77f3c763fb
951,61131,Mammals,35.50028,-89.20833,10/25/1992,OMNH,,0.5 ,year,"Hunt Area 3, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1992,mm,ear length,,562aec07-679b-4574-b0d9-0bc0384e2f4b
952,60155,Mammals,35.50028,-89.20833,10/17/1992,OMNH,,0.5 ,year,"Hunt Area 1, Hatchie National Wildlife Refuge",male,Odocoileus virginianus,1992,mm,ear length,,e15b25fb-b57b-46aa-be34-faa83a0884d0
