,institutionCode,collectionCode,catalogNumber,measurementSide,measurementType,scientificName,decimalLatitude,decimalLongitude,locality,verbatimLocality,basisOfRecord,measurementValue,measurementUnit,lithostratigraphicTerms,formation,member,references,materialSampleID,diagnosticID
715,KU,,41960,left,P3/P4 anteroposterior length,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,27.43,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,1793ca0d-e2e4-43e7-a8c9-e14df002a52f
716,KU,,41960,left,P3/P4 transverse width,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,25.92,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,6aa2e800-2e5f-44be-93f5-87608bd81c49
717,KU,,41984,average left and right,P4 anteroposterior length,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,26.52,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,3152e58e-d813-4f99-9e22-7bce9bb5d65c
718,KU,,41984,average left and right,P4 transverse width,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,28.52,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,1effb68d-02fa-4f4e-b93f-d0541817e79e
719,KU,,39722,right,P3 anteroposterior length,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,25.53,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,e19dc5ad-9a1e-4a2f-a7b1-0a07491ce7ce
720,KU,,39722,right,P3 transverse width,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,24.22,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,3a7d22b9-5d53-456b-9922-dba4320f400f
721,KU,,31485,left,P4 anteroposterior length,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,22.42,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,d88c9134-78e3-49fc-9ff8-d1f5b20d5500
722,KU,,31485,left,P4 transverse width,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,24.62,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,4ffa143d-0f3e-45be-8238-e4e809df520b
723,KU,,35870,right,P3 anteroposterior length,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,23.81,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,c9b13a13-bfd1-4b0b-ad9d-75a1009fa795
724,KU,,35870,right,P3 transverse width,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,24.58,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,a3370b5b-424d-4b3b-aecf-109bb5952842
725,KU,,34083/34084,left,P4 anteroposterior length,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,24.48,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,867cce3a-fc8e-4d0f-9a76-6309c834eec9
726,KU,,34083/34084,left,P4 transverse width,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,26.25,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,5fa55281-1e33-43e6-824e-9d10d2cd1088
727,KU,,41045,right,P3/P4 anteroposterior length,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,25.07,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,cb183d69-ec05-46ed-94b3-8e159455714d
728,KU,,41045,right,P3/P4 transverse width,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,26.11,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,ec26321b-9023-4779-b3db-5852d4611070
729,KU,,35542,left,P4 anteroposterior length,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,23.29,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,dc19b1df-f091-4c82-8abc-d9c94d0b6e81
730,KU,,35542,left,P4 transverse width,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,25.49,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,a0a59754-e83d-4327-9293-7be4f1a49323
731,KU,,41180,right,P3/P4 anteroposterior length,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,23.84,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,5ee1054b-41d1-4ff8-91c0-d692dbe65bc6
732,KU,,41180,right,P3/P4 transverse width,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,26.05,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,53ed934f-551c-4199-b0a0-3952eb0ab07a
733,KU,,39803,right,P3 anteroposterior length,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,25.78,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,ea81bc4b-53ae-4df1-a14b-c6a84a107bbc
