"materialSampleID","sitename","verbatimEventDate","sex","measurementSide","verbatimLocality","scientificName","measurementValue","minimumChronometricAge","maximumChronometricAge","measurementType","individualID","measurementUnit","observationID"
"SAMPQL20541","E Quarry","","unknown","right","new","Eurygnathohippus hooijeri",338,"5.00",NA,"{length line of medial condyle of femur to greater trochanter}","SAMPQL20541","mm","ef150897-90a6-4e80-a81e-b3e334d84753"
"SAMPQL20541","E Quarry","","unknown","left","new","Eurygnathohippus hooijeri",231.2,"5.00",NA,"{length line trochlea of humerus to caput of humerus}","SAMPQL20541","mm","6965d74e-fa74-4aba-b154-5642f3ce8bfc"
"SAMPQL20553","E Quarry","","unknown","left","new","Eurygnathohippus hooijeri",NA,"5.00",NA,"{length line of medial condyle of femur to greater trochanter}","SAMPQL20553","mm","c74bd107-7e8b-43d5-8c19-a6fde835a5fa"
"SAMPQL20846","E Quarry","","unknown","right","new","Eurygnathohippus hooijeri",NA,"5.00",NA,"{length line of medial condyle of femur to greater trochanter}","SAMPQL20846","mm","5ba8dd3f-92b4-4396-a235-4a6b45c5462a"
"SAMPQL20847","E Quarry","","unknown","left","new","Eurygnathohippus hooijeri",NA,"5.00",NA,"{length line of medial condyle of femur to greater trochanter}","SAMPQL20847","mm","11b6b5b3-5d46-4a31-a3b9-6fe18e866e8b"
"SAMPQL21295C","E Quarry","","unknown","left","new","Eurygnathohippus hooijeri",319,"5.00",NA,"{length line of medial condyle of femur to greater trochanter}","SAMPQL21295C","mm","396906bc-1515-4a14-b0b8-fe9119e62a6d"
"SAMPQL3410","E Quarry","","unknown","right","new","Eurygnathohippus hooijeri",NA,"5.00",NA,"{length line of medial condyle of femur to greater trochanter}","SAMPQL3410","mm","82500796-cfdf-46a9-a72e-6f0fb0f41e0b"
"SAMPQL3412","E Quarry","","unknown","left","new","Eurygnathohippus hooijeri",NA,"5.00",NA,"{length line of medial condyle of femur to greater trochanter}","SAMPQL3412","mm","b9a9933d-997e-42bd-aefa-50c749d39a01"
"SAMPQL42731","E Quarry","","unknown","left","new","Eurygnathohippus hooijeri",NA,"5.00",NA,"{length line of medial condyle of femur to greater trochanter}","SAMPQL42731","mm","78549309-7f6b-4f3a-8719-05722e2559e2"
"SAMPQL5845","E Quarry","","unknown","left","new","Eurygnathohippus hooijeri",NA,"5.00",NA,"{length line of medial condyle of femur to greater trochanter}","SAMPQL5845","mm","1518f719-8eff-4f5f-8dc2-4dca0f33121d"
"SAMPQL9653","E Quarry","","unknown","left","new","Eurygnathohippus hooijeri",NA,"5.00",NA,"{length line of medial condyle of femur to greater trochanter}","SAMPQL9653","mm","fec4beea-3388-4a0b-9e90-60ab17340ff4"
"SAMPQL9973","E Quarry","","unknown","right","new","Eurygnathohippus hooijeri",NA,"5.0",NA,"{length line of medial condyle of femur to greater trochanter}","SAMPQL9973","mm","f3c542f6-ca11-4271-bc34-3108156866eb"
"AS90/220","","","unknown","right","new","""Hipparion""  sp.",0,"10.8","9.0","{length line trochlea of humerus to caput of humerus}","AS90/220","mm","dbd50464-c1a7-44c0-ab61-c6ae0968ed54"
"AS92/242","","","unknown","left","new","""Hipparion""  sp.",0,"10.8","9.0","{length line trochlea of humerus to caput of humerus}","AS92/242","mm","d3cc9b0f-127b-4934-9bc6-e0c2d92cd87f"
"AS93/842","","","unknown","left","new","""Hipparion""  sp.",0,"10.8","9.0","{length line trochlea of humerus to caput of humerus}","AS93/842","mm","fbdeadfc-7c6a-407d-80a6-72e1991f092c"
"MNHNRLB02","","","unknown","right","new","""Hipparion""  sp.",0,"9.9",NA,"{length line trochlea of humerus to caput of humerus}","MNHNRLB02","mm","ebf2394a-2596-4307-a803-0bd22b7496d0"
"MNHNRLB03","","","unknown","left","new","""Hipparion""  sp.",0,"9.9",NA,"{length line trochlea of humerus to caput of humerus}","MNHNRLB03","mm","7b336525-0d73-416c-bde2-bb4e98c33191"
"Ho21854","","","unknown","norecord","new","Hippotherium primigeneium",19.7,"10.3",NA,"{metacaral proximal breadth}","Ho21854","mm","b7a16ca9-a605-47fc-9dff-f74158aa3fb4"
"HoA54","","","male","left","new","Hippotherium primigeneium",18.5,"10.3",NA,"{metacaral proximal breadth}","HoA54","mm","9e7d1832-7c50-48ca-8f58-f7bca31f6272"
"HoA54","","","male","left","new","Hippotherium primigeneium",19.4,"10.3",NA,"{metacaral proximal breadth}","HoA54","mm","9b356ad4-0469-4f98-8400-88b4f020da87"
"HoB39","","","male","left","new","Hippotherium primigeneium",19,"10.3",NA,"{metacaral proximal breadth}","HoB39","mm","9ef67eb6-5b31-4323-9050-195345169781"
"HoB51","","","male","right","new","Hippotherium primigeneium",19.2,"10.3",NA,"{metacaral proximal breadth}","HoB51","mm","391f832f-53d3-4576-b106-1057dfbe1eee"
"HoB53","","","male","left","new","Hippotherium primigeneium",20.2,"10.3",NA,"{metacaral proximal breadth}","HoB53","mm","15d289e0-5665-4dce-8636-202321b1228f"
"HoB53","","","male","right","new","Hippotherium primigeneium",20.5,"10.3",NA,"{metacaral proximal breadth}","HoB53","mm","ff35a836-11e5-42e3-861e-27a6373a3dd9"
"HoC110","","","female","left","new","Hippotherium primigeneium",20.6,"10.3",NA,"{metacaral proximal breadth}","HoC110","mm","eb95b962-cf1b-4f2a-b998-ba3683d70f2e"
"HoC111","","","female","left","new","Hippotherium primigeneium",17.4,"10.3",NA,"{metacaral proximal breadth}","HoC111","mm","d790a5ec-4763-4231-b0b7-f007c11aa0d7"
"HoC127","","","female","right","new","Hippotherium primigeneium",17.4,"10.3",NA,"{metacaral proximal breadth}","HoC127","mm","f3a3e69c-e424-4de2-b286-7391d30a5ce4"
"HoC128","","","female","right","new","Hippotherium primigeneium",19.2,"10.3",NA,"{metacaral proximal breadth}","HoC128","mm","12502c82-b074-450b-a6ac-71a6efd4e44b"
"HoE26","","","female","left","new","Hippotherium primigeneium",18.3,"10.3",NA,"{metacaral proximal breadth}","HoE26","mm","f0d29950-4880-4a63-b511-4c313dae1098"
"HoE32","","","female","right","new","Hippotherium primigeneium",18.1,"10.3",NA,"{metacaral proximal breadth}","HoE32","mm","9158719f-3baf-47d5-bf0f-33a9b7c5cae9"
"HoE33","","","female","right","new","Hippotherium primigeneium",18.2,"10.3",NA,"{metacaral proximal breadth}","HoE33","mm","8a3c643f-3747-4d65-9192-120fd8970407"
"HoE34","","","female","left","new","Hippotherium primigeneium",18.3,"10.3",NA,"{metacaral proximal breadth}","HoE34","mm","b938812e-b0dc-4041-8384-4f630fb8740e"
"HoG","","","male","left","new","Hippotherium primigeneium",20.5,"10.3",NA,"{metacaral proximal breadth}","HoG","mm","5ffdc207-b040-49b3-ba04-cf2e8afc805d"
